,% Change,52 Week Range,Change,Circulating Supply,Day Chart,Market Cap,Name,Price (Intraday),Sscore,Symbol,Total Volume All Currencies (24Hr),Unnamed: 0,Volume in Currency (24Hr),Volume in Currency (Since 0:00 UTC),cagr,currency,marketCap,period,price,returns,sharp_ratio,std,volitility
0,-0.56%,,-154.81,19.37M,,530.959B,Bitcoin USD,27411.24,17791399558.682407,BTC-USD,21.046B,0,21.046B,21.046B,0.601903508210138,USD,526492499968.0,8.668493150684931,27172.044921875,0.32531654498055207,0.033792313394329,0.0382021395070984,9.626939155788797
1,-1.03%,,-18.87,120.31M,,218.8B,Ethereum USD,1818.64,3771010125.5030622,ETH-USD,10.458B,1,10.458B,10.458B,0.3697933146209378,USD,219261796352.0,5.52054794520548,1822.8829345703125,0.21724461789334606,0.017198664738881972,0.05012492714554354,12.631481640676972
2,+0.00%,,0.0,82.612B,,82.657B,Tether USD,1.0005,-78491295.4958948,USDT-USD,32.351B,2,32.351B,32.351B,-0.0014955951247203059,USD,82835824640.0,5.52054794520548,0.9998840689659119,-0.0010333481922099599,-0.000947552533423959,0.0043275574912008926,1.090544487782625
3,-0.09%,,-0.29,155.851M,,48.499B,BNB USD,311.19,2138847358.024068,BNB-USD,551.906M,3,551.906M,551.906M,1.4980988467638623,USD,48615686144.0,5.52054794520548,311.92059326171875,0.6320919322825977,0.04399500506253861,0.05701332037617005,14.367356734794853
4,-0.01%,,-0.000112,30.13B,,30.128B,USD Coin USD,0.999932,-10850809.204065144,USDC-USD,4.65B,4,4.65B,4.65B,-0.0004910396364292691,USD,29471174656.0,4.608219178082192,0.9999442100524902,-0.00033910240942404657,-0.00036818380436885777,0.003654817148049638,0.9210139213085088
5,-0.35%,,-0.001466,51.838B,,21.936B,XRP USD,0.423159,132848360.45190156,XRP-USD,1.014B,5,1.014B,1.014B,0.13898639999062024,USD,23125725184.0,5.52054794520548,0.4461168348789215,0.08984921509569356,0.005744613818372942,0.06206587868581479,15.640601428825327
6,+28.68%,,0.016663,173.411B,,12.963B,HEX USD,0.074755,138886280.24484327,HEX-USD,45.866M,6,45.866M,45.866M,3.426627718946369,USD,4779049472.0,3.4164383561643836,0.027559079229831696,1.0270816173739505,0.029061486192717794,0.14024474443038545,35.34167559645714
7,+0.34%,,0.001234,34.842B,,12.596B,Cardano USD,0.361527,242634622.41795915,ADA-USD,340.309M,7,340.309M,340.309M,0.5607181944020583,USD,13042479104.0,5.52054794520548,0.37421900033950806,0.3073337432303704,0.0186034127778319,0.0655566997688473,16.52028834174952
8,-0.65%,,-11.86,6.461M,,11.745B,Lido Staked ETH USD,1817.86,303757237.70816314,STETH-USD,17.955M,8,17.955M,17.955M,0.5971083162819792,USD,11408888832.0,2.3972602739726026,1808.449951171875,0.3232467461061282,0.026624611930320115,0.04817817387603154,12.140899816759948
9,-1.59%,,-0.001158,139.299B,,9.987B,Dogecoin USD,0.071698,267504415.9736553,DOGE-USD,357.335M,9,357.335M,357.335M,1.0499489226124736,USD,10374506496.0,5.52054794520548,0.07443013787269592,0.4955872575735951,0.025784784661978328,0.07627041013774487,19.220143354711706
