,NAME OF COMPANY,SYMBOL,Sscore,beta,cagr,currency,debtToEquity,earningsGrowth,ebitda,ebitdaMargins,financialCurrency,grossMargins,grossProfits,kendall,marketCap,market_cagr,net_cagr,operatingMargins,pearson,period,price,returns,revenueGrowth,revenuePerShare,sector,sharp_ratio,spearman,std,totalCash,totalCashPerShare,totalDebt,totalRevenue,volitility
0,20 Microns Limited,20MICRONS.NS,36566710.223098606,0.8769578907267641,0.09854463096275423,INR,,-0.577,848718720.0,0.12109999,INR,0.48841998,2944772000.0,0.20642620419421132,2957008896.0,0.1260966657147795,-0.02755203475202528,0.10704,0.30319422509731897,11.378082191780821,83.80000305175781,0.09614147704753423,-0.039,198.672,Basic Materials,0.012366114377458607,0.30420225530459516,0.03085155014441015,,,,7008343040.0,7.774590636391357
1,21st Century Management Services Limited,21STCENMGM.NS,-4987486.81801181,0.09238708926975257,-0.09511783440144705,INR,47.035,,-197958752.0,0.0,INR,0.0,323414000.0,0.04609338174234362,191624992.0,0.11433613086201988,-0.20945396526346693,1.12799,0.07257088385701647,5.347945205479452,18.25,-0.1022014969261755,,-16.765,Financial Services,-0.02602732955632327,0.06959591808161088,0.015582140106273852,6003000.0,0.572,140500000.0,-175984992.0,3.9266993067810105
2,360 ONE WAM LIMITED,360ONE.NS,2492401493.829604,0.6202767785235753,0.1174171906535999,INR,216.977,-0.069,12978499584.0,0.62887,INR,0.71492,,0.1617421413288522,144914825216.0,0.15704153378182806,-0.03962434312822816,0.60643,0.32591509563561355,3.66027397260274,405.8500061035156,0.11302823206015378,-0.077,58.062,Financial Services,0.01719907876999198,0.23589686576913618,0.026078415966092165,7255600128.0,20.397,67836698624.0,20637800448.0,6.571760823455226
3,3i Infotech Limited,3IINFOLTD.NS,-61951727.87014837,0.7882803154182292,-0.10938969940748344,INR,,,,0.0,INR,0.0,,0.16828509946670447,5433028608.0,0.1260966657147795,-0.23548636512226295,0.0,0.20477947730118262,11.378082191780821,32.25,-0.118504884353054,,,Technology,-0.011402798022989605,0.24274668398148128,0.04124053382716948,,,,,10.39261452444671
4,3M India Limited,3MINDIA.NS,9572532209.311544,0.6080128177502013,0.18653966756222995,INR,0.932,0.87,5559839232.0,0.14483,INR,0.37353,12302006000.0,0.18867781466533953,262620463104.0,0.1260966657147795,0.06044300184745044,0.13629,0.3404800613249988,11.378082191780821,23312.75,0.17496344347018017,0.202,3407.783,Industrials,0.036450062177830894,0.2750801236163152,0.019047961440027326,14203784192.0,1260.858,221336992.0,38389211136.0,4.800086282886886
5,3P Land Holdings Limited,3PLAND.NS,,0.2373833704325479,0.038201701979195146,INR,,,,,,,,0.04056823379055002,,0.1260966657147795,-0.08789496373558436,,0.06808913831100315,11.378082191780821,22.75,0.03836347042253134,,,,0.0040675533811249005,0.058865255410127014,0.037426919692471784,,,,,9.431583762502889
6,Fourth Dimension Solutions Limited,4THDIM.NS,-88728153.85926287,0.011341081963210417,-0.26450304261784785,INR,0.18,149.83,-4881360.0,-0.05743,INR,0.03698,5420354.0,0.002793831788761194,3957546496.0,0.12714110482081642,-0.39164414743866427,-0.09802,0.0023585869801797934,6.175342465753425,24.299999237060547,-0.3139029836527952,134.834,0.517,Technology,-0.022419990251268767,0.0031351312687049426,0.05555964773251731,2748000.0,0.017,2947000.0,84994800.0,14.001031228594362
7,5Paisa Capital Limited,5PAISA.NS,61805751.01403648,0.9219119450792873,0.05512949273705692,INR,36.542,2.152,,0.0,INR,1.0,,0.2244649469934451,9512353792.0,0.11935286374726717,-0.06422337101021025,0.18225001,0.33352866725088137,5.501369863013698,310.5,0.054823977725521035,0.03,105.498,Financial Services,0.006497419289221121,0.3289173274651675,0.033483365853528825,13011891200.0,430.6,1692834048.0,3187343872.0,8.437808195089264
8,63 moons technologies limited,63MOONS.NS,-56462846.7432733,0.939514158384512,-0.07067554370986062,INR,0.034,,-948861504.0,-0.4298,INR,0.2609,239264000.0,0.22143829750848212,7882684928.0,0.1260966657147795,-0.19677220942464013,-0.46062002,0.24144653739740524,11.378082191780821,170.0500030517578,-0.07497815862456661,1.302,47.883,Technology,-0.007162895289993418,0.32064137128372644,0.04153800431928209,18550736896.0,402.484,10414000.0,2207674112.0,10.467577088459088
9,A2Z Infra Engineering Limited,A2ZINFRA.NS,-28333349.02667134,1.0919770299036957,-0.2034565182664061,INR,260.943,,-1697821056.0,-0.47482,INR,0.123339996,482911000.0,0.2185347058416586,1183581824.0,0.1260966657147795,-0.3295531839811856,-0.49854,0.3021136458910399,11.378082191780821,6.699999809265137,-0.23268984716410515,0.035,20.309,Industrials,-0.02393864830647428,0.3201718454115836,0.038572453948105365,110859000.0,0.629,3799184896.0,3575688960.0,9.720258394922553
